timestamp,source_ip,destination_ip,protocol,packet_size
2026-06-16 10:34:31.510235,1.39.87.76,10.246.100.105,17,166
2026-06-16 10:34:31.521518,1.39.87.76,10.246.100.105,17,1288
2026-06-16 10:34:31.521518,10.246.100.105,1.39.87.76,17,78
2026-06-16 10:34:31.521518,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.521518,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.521518,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.521518,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.521518,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.521518,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.521518,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.531402,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.531402,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.531402,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.531402,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.531402,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.531402,10.246.100.105,1.39.87.76,17,74
2026-06-16 10:34:31.531402,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.537778,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.537778,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.537778,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.539900,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.540207,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.542233,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.542233,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.542233,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.544239,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.544239,10.246.100.105,1.39.87.76,17,74
2026-06-16 10:34:31.546082,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.547539,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.547539,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.547539,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.547539,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.550204,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.550204,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.551668,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.552278,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.552278,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.554302,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.554302,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.554302,10.246.100.105,1.39.87.76,17,74
2026-06-16 10:34:31.554302,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.554302,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.554302,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.557626,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.557626,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.557626,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.557626,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.557626,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.560159,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.560159,1.39.87.76,10.246.100.105,17,1292
2026-06-16 10:34:31.560159,10.246.100.105,1.39.87.76,17,74
2026-06-16 10:34:31.560159,1.39.87.76,10.246.100.105,17,1292
